PointID,SiteID,Easting,Northing,Altitude,OSEWellID,HoleDepth,WellDepth,FormationZone,Geometry,ObjectID,x,y,wkid
ED-0278,,"563,964","3,570,190","3,500",,,460,313CLBD,,798,-11612944.56,3798358.646,102100
ED-0206,,"573,811","3,587,850","3,165",,,400,312RSLR,,822,-11601153.63,3819269.274,102100
ED-0254,,"582,692","3,580,330","3,045",,,,110ALVM,,825,-11590712.49,3810244.679,102100
ED-0214,,"577,542","3,584,460","3,080",,,135,110ALVM,,826,-11596767.38,3815203.775,102100
ED-0274,,"552,148","3,571,750","3,750",,,167,313CKBF,,827,-11626900.48,3800292.08,102100
TB-0015,,"416,169","3,663,114","5,738",X,,,310ABO,,829,-11788560.49,3909043.403,102100
BW-0283,,"410,932","3,649,280","4,679",,,330,110ALVM,,832,-11794657.96,3892419.222,102100
ED-0283,,"575,959","3,577,140","3,140",,,,110ALVM,,838,-11598706.21,3806516.277,102100
ED-0371,,"603,011","3,547,520","3,080",,,200,231DCKM,,841,-11567069.97,3771086.732,102100
SM-0259,,"444,543","3,642,783","7,467",X,410,410,300YESO,,850,-11754574.63,3884940.59,102100
ED-0319,,"601,552","3,577,990","3,000",,,200,312RSLR,,870,-11568429.7,3807258.627,102100
ED-0187,,"563,802","3,586,310","3,400",,,,313CLBD,,881,-11613015.33,3817518.909,102100
WL-0172,,"537,304","3,659,486","3,811",RA-03930,450,450,,,888,-11644057.38,3905040.433,102100
SM-0040,,"447,836","3,641,487","7,180",PN-00258,405,405,300YESO,,901,-11750645.99,3883411.913,102100
SM-0253,,"422,875","3,644,974","6,710",T-03309,100,100,050QUAL,,906,-11780390.96,3887387.259,102100
BW-0209,,"402,200","3,658,870","4,425",,,197,110ALVM,,907,-11805173.15,3903802.829,102100
ED-0140,,"573,055","3,590,060","3,115",,,,110ALVM,,914,-11602029.65,3821905.185,102100
WS-008,3.25E+14,"381,387","3,631,480","3,968",?,25,25,110AVMB,,922,-11829594.91,3870763.988,102100
SM-0010,,"425,532","3,635,423","9,081",PN-00217,345,345,300YESO,,928,-11777141.37,3875990.442,102100
SM-0024,,"424,847","3,627,692","8,917",X,266,266,300YESO,,931,-11777886.41,3866747.38,102100
BW-0346,,"402,584","3,636,940","4,155",,,58,110ALVM,,936,-11804456.71,3877565.071,102100
BW-0771,,"619,710","3,549,140","3,272",,,340,231DCKM,,939,-11547358.76,3772789.851,102100
SM-0035,,"420,432","3,625,055","7,081",T-04443,200,185,322BEMN,,941,-11783109.14,3863557.25,102100
BW-0400,,"410,462","3,631,240","4,163",,,260,110ALVM,,942,-11795022.96,3870842.574,102100
ED-0309,,"581,668","3,573,900","3,086",,,278,110ALVM/312RSLR,,944,-11591985.48,3802613.679,102100
SM-0083,,"449,223","3,650,626","7,389",PN-00349,455,455,300YESO,,948,-11749051.05,3894356.342,102100
SM-0174,,"470,949","3,646,129","5,771",X,100,100,260SNAN_lower,,962,-11723148.01,3889079.359,102100
ED-0355,,"593,901","3,551,170","2,985",,,698,312RSLR,,966,-11577771.95,3775516.469,102100
SM-0235,3.25E+14,"454,663","3,639,181","6,584",PN-00146,100,100,300YESO,,974,-11742506.48,3880694.467,102100
SM-0019,,"429,141","3,641,987","8,779",PN-00926,240,240,300YESO,,982,-11772904.19,3883870.443,102100
BW-0410,,"410,455","3,630,430","4,141",,,260,110ALVM,,999,-11795022.57,3869874.847,102100
TB-0085,,"403,999","3,640,809","4,218",T-04386 S-6,290,290,112QTBF,,1006,-11802818.11,3882207.264,102100
ED-0053,,"579,663","3,617,930","3,460",,,160,312RSLR,,1024,-11593941.05,3855052.213,102100
ED-0207,,"573,484","3,585,620","3,100",,,90,110ALVM,,1028,-11601560.08,3816619.578,102100
ED-0324,,"555,598","3,567,630","3,790",,,,110ALVM,,1033,-11622849,3795377.503,102100
ED-0273,,"534,947","3,570,640","4,250",,,60,313CKBF,,1037,-11647238.84,3799061.723,102100
SM-0087,,"439,525","3,640,142","8,189",PN-00136,200,200,300YESO,,1045,-11760529.46,3881746.593,102100
TB-0006,,"405,269","3,661,640","4,525",T-00025 AA,440,440,112QTBF,,1049,-11801545.84,3907157.797,102100
BW-0402,,"410,462","3,631,240","4,161",,,240,110ALVM,,1061,-11795022.96,3870842.574,102100
TB-0301,,"397,688","3,671,678","4,324",T-03901,43,43,,,1064,-11810712.67,3919100.772,102100
ED-0027,,"568,495","3,636,930","3,487",,,,313CKBF,,1067,-11607046.87,3877843.504,102100
ED-0043,,"590,649","3,621,700","3,430",,,,231DCKM,,1069,-11580854.9,3859438.731,102100
ED-0146,,"572,824","3,589,540","3,112",,,,110ALVM,,1075,-11602307.66,3821288.463,102100
BW-0189,,"401,811","3,660,900","4,420",,,,110ALVM,,1104,-11805661.22,3906230.277,102100
BW-0272,,"405,427","3,654,380","4,410",,,50,110ALVM,,1118,-11801273.91,3898463.06,102100
ED-0158,,"540,553","3,580,580","4,130",,,,110ALVM,,1119,-11640565.22,3810848.373,102100
ED-0345,,"561,260","3,556,180","3,410",,,65,110ALVM,,1130,-11616240.45,3781751.728,102100
ED-0221,,"575,656","3,582,080","3,125",,,200,110ALVM,,1132,-11599020.67,3812390.872,102100
BW-0396,,"410,065","3,631,240","4,163",,,251,110ALVM,,1133,-11795495,3870838.274,102100
BW-0281,,"409,918","3,651,100","4,600",,,275,110ALVM,,1147,-11795885.7,3894586.621,102100
ED-0334,,"582,547","3,566,760","3,065",,,,110ALVM,,1149,-11591015.19,3794126.215,102100
BW-0342,,"408,897","3,637,110","4,257",,,,110ALVM,,1163,-11796948.11,3877840.302,102100
SM-0188,,"486,153","3,634,138","5,400",X,770,770,300YESO,,1176,-11705019.74,3874778.278,102100
